e,NB,NM,NS,ZO,PS,PM,PB
NB,NB,NB,NB,NB,NM,NS,ZO
NM,NB,NB,NB,NM,NS,ZO,PS
NS,NB,NB,NM,NS,ZO,PS,PM
ZO,NB,NM,NS,ZO,PS,PM,PB
PS,NM,NS,ZO,PS,PM,PB,PB
PM,NS,ZO,PS,PM,PB,PB,PB
PB,ZO,PS,PM,PB,PB,PB,PB
